policy,tenant,app,bw_mbps,rtt_ms,loss,device_cpu,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol,ts
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,local:med,1545.249,119.76655,1553.052,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,edge1:med,1470.559,76.65059,1478.784,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,cloud1:low,2069.202,60.36234,2079.687,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:high,1426.142,107.31083,1435.699,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:high,1426.142,107.31083,1435.699,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,local:med,1545.249,119.76655,1553.052,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:med,1470.559,76.65059,1478.784,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,cloud1:low,2069.202,60.36234,2079.687,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:high,2245.483,166.54793,2255.040,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:high,2245.483,166.54793,2255.040,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,local:med,2425.125,185.87938,2432.928,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:med,2315.240,118.96281,2323.465,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,cloud1:low,3224.039,93.68321,3234.524,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:high,2245.483,166.69651,2255.040,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:high,2245.483,166.69651,2255.040,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,local:med,2425.125,186.04521,2432.928,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:med,2315.240,119.06893,2323.465,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,cloud1:low,3224.039,93.76678,3234.524,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,180.0,edge1:high,2245.483,166.75118,2255.040,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,180.0,edge1:high,2245.483,166.75118,2255.040,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,180.0,local:med,2425.125,186.10622,2432.928,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,180.0,edge1:med,2315.240,119.10798,2323.465,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,180.0,cloud1:low,3224.039,93.79754,3234.524,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,220.0,edge1:high,2245.483,166.75118,2255.040,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,220.0,edge1:high,2245.483,166.75118,2255.040,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,220.0,local:med,2425.125,186.10622,2432.928,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,220.0,edge1:med,2315.240,119.10798,2323.465,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,220.0,cloud1:low,3224.039,93.79754,3234.524,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,100.0,edge1:med,129.802,6.77839,138.428,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,100.0,edge1:high,125.608,9.48974,135.631,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,100.0,local:med,148.627,10.59123,156.430,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,100.0,edge1:med,129.802,6.77839,138.428,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,100.0,cloud1:low,236.135,5.33798,246.620,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,140.0,edge1:med,129.802,6.66345,138.428,0,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,140.0,edge1:high,125.608,9.32883,135.631,0,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,140.0,local:med,148.627,10.41164,156.430,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,140.0,edge1:med,129.802,6.66345,138.428,0,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,140.0,cloud1:low,236.135,5.24747,246.620,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,180.0,edge1:low,164.752,6.03225,174.397,0,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,180.0,edge1:high,125.608,9.38351,135.631,0,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,180.0,local:med,148.627,10.47266,156.430,0,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,180.0,edge1:med,129.802,6.70251,138.428,0,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,180.0,cloud1:low,236.135,5.27822,246.620,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,220.0,edge1:low,167.650,6.03225,177.294,0,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,220.0,edge1:high,127.856,9.38351,137.879,0,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,220.0,local:med,151.041,10.47266,158.844,0,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,220.0,edge1:med,132.120,6.70251,140.746,0,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,220.0,cloud1:low,239.304,5.27822,249.789,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,100.0,edge1:med,356.022,20.14496,364.648,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,100.0,edge1:high,345.041,28.20295,355.064,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,100.0,local:med,384.273,31.47650,392.076,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,100.0,edge1:med,356.022,20.14496,364.648,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,100.0,cloud1:low,545.421,15.86416,555.905,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,140.0,edge1:med,356.022,20.03003,364.648,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,140.0,edge1:high,345.041,28.04204,355.064,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,140.0,local:med,384.273,31.29692,392.076,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,140.0,edge1:med,356.022,20.03003,364.648,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,140.0,cloud1:low,545.421,15.77365,555.905,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,356.022,20.06908,364.648,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,180.0,edge1:high,345.041,28.09671,355.064,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,180.0,local:med,384.273,31.35794,392.076,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,356.022,20.06908,364.648,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,180.0,cloud1:low,545.421,15.80440,555.905,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,356.022,20.06908,364.648,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,220.0,edge1:high,345.041,28.09671,355.064,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,220.0,local:med,384.273,31.35794,392.076,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,356.022,20.06908,364.648,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,220.0,cloud1:low,545.421,15.80440,555.905,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,100.0,edge1:med,1499.645,76.72647,1508.271,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,100.0,edge1:high,1454.356,107.41706,1464.379,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,100.0,local:med,1575.547,119.88511,1583.350,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,100.0,edge1:med,1499.645,76.72647,1508.271,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,100.0,cloud1:low,2108.968,60.42210,2119.453,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,140.0,edge1:high,1454.356,107.25615,1464.379,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,140.0,edge1:high,1454.356,107.25615,1464.379,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,140.0,local:med,1575.547,119.70552,1583.350,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,140.0,edge1:med,1499.645,76.61154,1508.271,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,140.0,cloud1:low,2108.968,60.33158,2119.453,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,180.0,edge1:high,1454.356,107.31083,1464.379,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,180.0,edge1:high,1454.356,107.31083,1464.379,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,180.0,local:med,1575.547,119.76655,1583.350,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,180.0,edge1:med,1499.645,76.65059,1508.271,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,180.0,cloud1:low,2108.968,60.36234,2119.453,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,220.0,edge1:high,1454.356,107.31083,1464.379,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,220.0,edge1:high,1454.356,107.31083,1464.379,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,220.0,local:med,1575.547,119.76655,1583.350,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,220.0,edge1:med,1499.645,76.65059,1508.271,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,220.0,cloud1:low,2108.968,60.36234,2119.453,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,100.0,edge1:high,2279.168,166.54793,2289.191,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,100.0,edge1:high,2279.168,166.54793,2289.191,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,100.0,local:med,2461.299,185.87938,2469.102,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,100.0,edge1:med,2349.967,118.96281,2358.594,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,100.0,cloud1:low,3271.518,93.68321,3282.002,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,140.0,edge1:high,2279.168,166.69651,2289.191,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,140.0,edge1:high,2279.168,166.69651,2289.191,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,140.0,local:med,2461.299,186.04521,2469.102,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,140.0,edge1:med,2349.967,119.06893,2358.594,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,140.0,cloud1:low,3271.518,93.76678,3282.002,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,180.0,edge1:high,2279.168,166.75118,2289.191,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,180.0,edge1:high,2279.168,166.75118,2289.191,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,180.0,local:med,2461.299,186.10622,2469.102,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,180.0,edge1:med,2349.967,119.10798,2358.594,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,180.0,cloud1:low,3271.518,93.79754,3282.002,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,220.0,edge1:high,2279.168,166.75118,2289.191,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,220.0,edge1:high,2279.168,166.75118,2289.191,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,220.0,local:med,2461.299,186.10622,2469.102,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,220.0,edge1:med,2349.967,119.10798,2358.594,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,220.0,cloud1:low,3271.518,93.79754,3282.002,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,172.049,6.77839,181.781,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,100.0,edge1:high,166.948,9.48974,178.255,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,100.0,local:med,180.135,10.59123,187.938,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,172.049,6.77839,181.781,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,100.0,cloud1:low,277.489,5.33798,287.974,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,172.049,6.66345,181.781,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,140.0,edge1:high,166.948,9.32883,178.255,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,140.0,local:med,180.135,10.41164,187.938,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,172.049,6.66345,181.781,1,1760776593
